"","data.id","name","number.of.features","number.of.instances","number.of.numeric.features","number.of.symbolic.features","clusters","miss"
"981",1153,"AP_Colon_Ovary",10937,484,10936,1,1,FALSE
"982",1154,"AP_Endometrium_Lung",10937,187,10936,1,1,FALSE
"983",1155,"AP_Prostate_Lung",10937,195,10936,1,1,FALSE
"984",1156,"AP_Omentum_Ovary",10937,275,10936,1,1,FALSE
"985",1157,"AP_Endometrium_Kidney",10937,321,10936,1,1,FALSE
"986",1158,"AP_Breast_Kidney",10937,604,10936,1,1,FALSE
"987",1159,"AP_Endometrium_Ovary",10937,259,10936,1,1,FALSE
"988",1160,"AP_Colon_Uterus",10937,410,10936,1,1,FALSE
"989",1161,"OVA_Colon",10937,1545,10936,1,1,FALSE
"990",1162,"AP_Ovary_Uterus",10937,322,10936,1,1,FALSE
"991",1163,"AP_Lung_Kidney",10937,386,10936,1,1,FALSE
"992",1164,"AP_Endometrium_Uterus",10937,185,10936,1,1,FALSE
"993",1165,"AP_Breast_Ovary",10937,542,10936,1,1,FALSE
"994",1166,"OVA_Ovary",10937,1545,10936,1,1,FALSE
"995",1167,"pc1_req",9,320,7,2,6,FALSE
"997",1169,"airlines",8,539383,3,5,12,FALSE
"999",1178,"BNG(solar-flare)",13,663552,0,13,12,FALSE
"1001",1180,"BNG(spect_test)",23,1000000,0,23,3,FALSE
"1002",1181,"BNG(spectf_test)",45,1000000,44,1,3,FALSE
"1003",1182,"BNG(adult)",15,1000000,2,13,3,FALSE
"1026",1205,"BNG(Australian)",15,1000000,14,1,3,FALSE
"1032",1211,"BNG(SPECT)",23,1000000,0,23,3,FALSE
"1033",1212,"BNG(SPECTF)",45,1000000,44,1,3,FALSE
"1036",1216,"Click_prediction_small",12,1496391,11,1,3,FALSE
"1045",1235,"Agrawal1",10,1000000,6,4,3,FALSE
"1046",1236,"Stagger1",4,1000000,0,4,3,FALSE
"1047",1237,"Stagger2",4,1000000,0,4,3,FALSE
"1048",1238,"Stagger3",4,1000000,0,4,3,FALSE
"1049",1240,"AirlinesCodrnaAdult",30,1076790,13,17,3,TRUE
"1050",1241,"codrnaNorm",9,488565,8,1,12,FALSE
"1051",1242,"vehicleNorm",101,98528,100,1,3,FALSE
"1071",1369,"BNG(kr-vs-kp,1000,1)",37,1000000,0,37,3,FALSE
"1072",1370,"BNG(kr-vs-kp,1000,5)",37,1000000,0,37,3,FALSE
"1073",1371,"BNG(kr-vs-kp,1000,10)",37,1000000,0,37,3,FALSE
"1074",1372,"BNG(kr-vs-kp,5000,1)",37,1000000,0,37,3,FALSE
"1075",1373,"BNG(kr-vs-kp,5000,5)",37,1000000,0,37,3,FALSE
"1076",1374,"BNG(kr-vs-kp,5000,10)",37,1000000,0,37,3,FALSE
"1077",1375,"BNG(kr-vs-kp,10000,1)",37,1000000,0,37,3,FALSE
"1078",1376,"BNG(kr-vs-kp,10000,5)",37,1000000,0,37,3,FALSE
"1079",1377,"BNG(kr-vs-kp,10000,10)",37,1000000,0,37,3,FALSE
"1113",1412,"lungcancer_GSE31210",24,226,21,3,6,FALSE
"1130",1441,"KungChi3",40,123,39,1,6,FALSE
"1131",1442,"MegaWatt1",38,253,37,1,6,FALSE
"1132",1443,"PizzaCutter1",38,661,37,1,6,FALSE
"1133",1444,"PizzaCutter3",38,1043,37,1,6,FALSE
"1134",1446,"CostaMadre1",38,296,37,1,6,FALSE
"1135",1447,"CastMetal1",38,327,37,1,6,FALSE
"1136",1448,"KnuggetChase3",40,194,39,1,6,FALSE
"1137",1449,"MeanWhile1",38,253,37,1,6,FALSE
"1138",1450,"MindCave2",40,125,39,1,6,FALSE
"1139",1451,"PieChart1",38,705,37,1,6,FALSE
"1140",1452,"PieChart2",37,745,36,1,6,FALSE
"1141",1453,"PieChart3",38,1077,37,1,6,FALSE
"1142",1455,"acute-inflammations",7,120,1,6,8,FALSE
"1144",1458,"arcene",10001,200,10000,1,1,FALSE
"1146",1460,"banana",3,5300,2,1,6,FALSE
"1147",1461,"bank-marketing",17,45211,7,10,3,FALSE
"1148",1462,"banknote-authentication",5,1372,4,1,6,FALSE
"1149",1463,"blogger",6,100,0,6,8,FALSE
"1150",1464,"blood-transfusion-service-center",5,748,4,1,6,FALSE
"1153",1467,"climate-model-simulation-crashes",21,540,20,1,6,FALSE
"1155",1471,"eeg-eye-state",15,14980,14,1,4,FALSE
"1157",1473,"fertility",10,100,9,1,6,FALSE
"1162",1479,"hill-valley",101,1212,100,1,6,FALSE
"1163",1480,"ilpd",11,583,9,2,6,FALSE
"1167",1484,"lsvt",311,126,310,1,2,FALSE
"1168",1485,"madelon",501,2600,500,1,2,FALSE
"1169",1486,"nomao",119,34465,89,30,11,FALSE
"1170",1487,"ozone-level-8hr",73,2534,72,1,6,FALSE
"1171",1488,"parkinsons",23,195,22,1,6,FALSE
"1172",1489,"phoneme",6,5404,5,1,6,FALSE
"1173",1490,"planning-relax",13,182,12,1,6,FALSE
"1177",1494,"qsar-biodeg",42,1055,41,1,6,FALSE
"1178",1495,"qualitative-bankruptcy",7,250,0,7,8,FALSE
"1179",1496,"ringnorm",21,7400,20,1,4,FALSE
"1181",1498,"sa-heart",10,462,8,2,6,FALSE
"1185",1502,"skin-segmentation",4,245057,3,1,10,FALSE
"1187",1504,"steel-plates-fault",34,1941,33,1,6,FALSE
"1188",1506,"thoracic-surgery",17,470,3,14,11,FALSE
"1189",1507,"twonorm",21,7400,20,1,4,FALSE
"1192",1510,"wdbc",31,569,30,1,6,FALSE
"1193",1511,"wholesale-customers",9,440,7,2,6,FALSE
"1204",1524,"vertebra-column",7,310,6,1,6,FALSE
"1227",1547,"autoUniv-au1-1000",21,1000,20,1,6,FALSE
"1240",1561,"dbworld-bodies-stemmed",3722,64,0,3722,5,FALSE
"1241",1562,"dbworld-bodies",4703,64,0,4703,5,FALSE
"1242",1563,"dbworld-subjects-stemmed",230,64,0,230,11,FALSE
"1243",1564,"dbworld-subjects",243,64,0,243,11,FALSE
"1272",1597,"creditcard",31,284807,30,1,10,FALSE
"2356",4134,"Bioresponse",1777,3751,1776,1,13,FALSE
"2357",4135,"Amazon_employee_access",10,32769,0,10,3,FALSE
"2358",4136,"Dexter",20001,600,20000,1,1,FALSE
"2359",4137,"Dorothea",100001,1150,100000,1,7,FALSE
"2364",4154,"CreditCardSubset",31,14240,30,1,4,FALSE
"2365",4329,"thoracic_surgery",17,470,3,14,11,FALSE
"2371",4534,"PhishingWebsites",31,11055,0,31,11,FALSE
"2391",6332,"cylinder-bands",40,540,18,22,11,TRUE
"2393",23381,"dresses-sales",13,500,1,12,9,TRUE
"2400",23499,"breast-cancer-dropped-missing-attributes-values",10,277,0,10,8,FALSE
"2401",23512,"higgs",29,98050,28,1,3,TRUE
"2405",23517,"numerai28.6",22,96320,21,1,3,FALSE
"2423",40536,"SpeedDating",123,8378,59,64,13,TRUE
"2424",40588,"birds",279,645,258,21,11,FALSE
"2425",40589,"emotions",78,593,72,6,8,FALSE
"2426",40590,"enron",1054,1702,0,1054,3,FALSE
"2427",40591,"genbase",1213,662,0,1213,3,FALSE
"2428",40592,"image",140,2000,135,5,6,FALSE
"2429",40593,"langLog",1079,1460,1004,75,13,FALSE
"2430",40594,"reuters",250,2000,243,7,2,FALSE
"2432",40596,"slashdot",1101,3782,1079,22,13,FALSE
"2433",40597,"yeast",117,2417,103,14,11,FALSE
"2435",40645,"GAMETES_Epistasis_2-Way_1000atts_0.4H_EDM-1_EDM-1_1",1001,1600,0,1001,3,FALSE
"2436",40646,"GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1",21,1600,0,21,11,FALSE
"2437",40647,"GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1",21,1600,0,21,11,FALSE
"2438",40648,"GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1",21,1600,0,21,11,FALSE
"2439",40649,"GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001",21,1600,0,21,11,FALSE
"2440",40650,"GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001",21,1600,0,21,11,FALSE
"2441",40660,"analcatdata_fraud",12,42,0,12,8,FALSE
"2444",40665,"clean1",169,476,168,1,2,FALSE
"2445",40666,"clean2",169,6598,168,1,2,FALSE
"2447",40669,"corral",7,160,0,7,8,FALSE
"2453",40680,"mofn-3-7-10",11,1324,0,11,8,FALSE
"2454",40681,"mux6",7,128,0,7,8,FALSE
"2460",40690,"threeOf9",10,512,0,10,8,FALSE
"2462",40693,"xd6",10,973,0,10,8,FALSE
"2464",40701,"churn",21,5000,16,5,8,FALSE
"2465",40702,"solar-flare",11,1066,0,11,8,FALSE
"2467",40705,"tokyo1",45,959,42,3,6,FALSE
"2468",40706,"parity5_plus_5",11,1124,0,11,8,FALSE
"2472",40710,"cleve",14,303,5,9,8,FALSE
"2474",40713,"dis",30,3772,6,24,11,FALSE
"2475",40714,"parity5",6,32,0,6,8,FALSE
"2480",40900,"Satellite",37,5100,36,1,6,FALSE
"2481",40910,"Speech",401,3686,400,1,2,FALSE
"2485",40922,"Run_or_walk_information",7,88588,6,1,3,FALSE
"2489",40945,"Titanic",14,1309,6,3,9,TRUE
"2494",40978,"Internet-Advertisements",1559,3279,3,1556,3,FALSE
"2496",40981,"Australian",15,690,6,9,8,FALSE
"2498",40983,"wilt",6,4839,5,1,6,FALSE
"2507",40999,"jungle_chess_2pcs_endgame_elephant_elephant",47,2351,20,27,11,FALSE
"2513",41005,"jungle_chess_2pcs_endgame_rat_rat",47,3660,20,27,11,FALSE
"2515",41007,"jungle_chess_2pcs_endgame_lion_lion",47,2352,20,27,11,FALSE
"2518",41026,"gisette",5001,7000,5000,1,10,FALSE
"2528",41138,"APSFailure",171,76000,170,1,3,TRUE
"2529",41142,"christine",1637,5418,1599,38,13,FALSE
"2530",41143,"jasmine",145,2984,8,137,13,FALSE
"2531",41144,"madeline",260,3140,259,1,2,FALSE
"2532",41145,"philippine",309,5832,308,1,2,FALSE
"2533",41146,"sylvine",21,5124,20,1,6,FALSE
"2534",41147,"albert",79,425240,26,53,10,FALSE
"2535",41150,"MiniBooNE",51,130064,50,1,3,FALSE
"2536",41156,"ada",49,4147,48,1,6,FALSE
"2538",41158,"gina",971,3153,970,1,13,FALSE
"2539",41159,"guillermo",4297,20000,4296,1,10,FALSE
"2540",41160,"rl",23,31406,8,15,3,TRUE
"2541",41161,"riccardo",4297,20000,4296,1,10,FALSE
"2542",41162,"kick",33,72983,14,19,3,TRUE
"2553",41228,"Klaverjas2018",33,981541,32,1,3,FALSE
"2555",41430,"DiabeticMellitus",98,281,97,1,9,TRUE
"2584",41496,"DRSongsLyrics",2,358,0,1,6,FALSE
"2594",41521,"Weather",5,14,2,3,6,FALSE
"2598",41526,"test_dataset",61,15547,60,1,9,TRUE
"2600",41538,"conference_attendance",7,246,0,7,8,FALSE
"2641",41707,"FOREX_usddkk-day-High",12,1832,11,1,6,FALSE
"2642",41708,"FOREX_eurchf-minute-Close",12,375840,11,1,10,FALSE
"2643",41709,"FOREX_audchf-hour-High",12,43825,11,1,3,FALSE
"2644",41710,"FOREX_eurhkd-minute-High",12,375840,11,1,10,FALSE
"2645",41711,"FOREX_eurusd-minute-Close",12,375840,11,1,10,FALSE
"2646",41712,"FOREX_eurcad-hour-High",12,43825,11,1,3,FALSE
"2647",41713,"FOREX_eurnzd-day-High",12,1832,11,1,6,FALSE
"2648",41714,"FOREX_eurpln-minute-High",12,375840,11,1,10,FALSE
"2649",41715,"FOREX_eurhuf-hour-High",12,43825,11,1,3,FALSE
"2650",41716,"FOREX_eurcad-day-Close",12,1834,11,1,6,FALSE
"2651",41717,"FOREX_usdjpy-minute-High",12,375840,11,1,10,FALSE
"2652",41718,"FOREX_audjpy-hour-High",12,43825,11,1,3,FALSE
"2653",41719,"FOREX_eurjpy-day-High",12,1832,11,1,6,FALSE
"2654",41720,"FOREX_eurusd-day-High",12,1837,11,1,6,FALSE
"2655",41721,"FOREX_audcad-day-High",12,1834,11,1,6,FALSE
"2656",41722,"FOREX_usdjpy-day-Close",12,1835,11,1,6,FALSE
"2657",41723,"FOREX_cadchf-hour-High",12,43825,11,1,3,FALSE
"2658",41724,"FOREX_chfjpy-day-Close",12,1832,11,1,6,FALSE
"2659",41725,"FOREX_eurcad-day-High",12,1834,11,1,6,FALSE
"2660",41726,"FOREX_audusd-day-High",12,1834,11,1,6,FALSE
"2661",41727,"FOREX_usdcad-hour-Close",12,43825,11,1,3,FALSE
"2662",41728,"FOREX_cadjpy-minute-High",12,375840,11,1,10,FALSE
"2663",41729,"FOREX_chfjpy-minute-Close",12,375840,11,1,10,FALSE
"2664",41730,"FOREX_usdchf-day-High",12,1835,11,1,6,FALSE
"2665",41731,"FOREX_eursek-day-High",12,1837,11,1,6,FALSE
"2666",41732,"FOREX_usdjpy-minute-Close",12,375840,11,1,10,FALSE
"2667",41733,"FOREX_eurhkd-day-High",12,1832,11,1,6,FALSE
"2668",41734,"FOREX_eurpln-hour-Close",12,43825,11,1,3,FALSE
"2669",41735,"FOREX_eurcad-minute-Close",12,375840,11,1,10,FALSE
"2670",41736,"FOREX_eurhuf-hour-Close",12,43825,11,1,3,FALSE
"2671",41737,"FOREX_audusd-day-Close",12,1834,11,1,6,FALSE
"2672",41738,"FOREX_chfsgd-minute-High",12,375840,11,1,10,FALSE
"2673",41739,"FOREX_eurhkd-hour-High",12,43825,11,1,3,FALSE
"2674",41740,"FOREX_audchf-day-Close",12,1833,11,1,6,FALSE
"2675",41741,"FOREX_eursgd-minute-High",12,375840,11,1,10,FALSE
"2676",41742,"FOREX_eurgbp-hour-High",12,43825,11,1,3,FALSE
"2677",41743,"FOREX_eurpln-minute-Close",12,375840,11,1,10,FALSE
"2678",41744,"FOREX_eurrub-day-High",12,1832,11,1,6,FALSE
"2679",41745,"FOREX_chfjpy-minute-High",12,375840,11,1,10,FALSE
"2680",41746,"FOREX_cadchf-day-High",12,1831,11,1,6,FALSE
"2681",41747,"FOREX_audnzd-minute-Close",12,375840,11,1,10,FALSE
"2682",41748,"FOREX_usddkk-minute-Close",12,375840,11,1,10,FALSE
"2683",41749,"FOREX_gbpusd-minute-High",12,375840,11,1,10,FALSE
"2684",41750,"FOREX_eurhuf-day-Close",12,1834,11,1,6,FALSE
"2685",41751,"FOREX_eurnok-minute-Close",12,375840,11,1,10,FALSE
"2686",41752,"FOREX_eurjpy-minute-Close",12,375840,11,1,10,FALSE
"2687",41753,"FOREX_usdcad-day-High",12,1833,11,1,6,FALSE
"2688",41754,"FOREX_eurjpy-day-Close",12,1832,11,1,6,FALSE
"2689",41755,"FOREX_cadchf-minute-Close",12,375840,11,1,10,FALSE
"2690",41756,"FOREX_audsgd-day-High",12,1832,11,1,6,FALSE
"2691",41757,"FOREX_usdchf-minute-Close",12,375840,11,1,10,FALSE
"2692",41758,"FOREX_eursgd-hour-Close",12,43825,11,1,3,FALSE
"2693",41759,"FOREX_eurtry-hour-High",12,43825,11,1,3,FALSE
"2694",41760,"FOREX_eurhuf-day-High",12,1834,11,1,6,FALSE
"2695",41761,"FOREX_eursek-minute-Close",12,375840,11,1,10,FALSE
"2696",41762,"FOREX_audsgd-hour-Close",12,43825,11,1,3,FALSE
"2697",41763,"FOREX_audcad-hour-High",12,43825,11,1,3,FALSE
"2698",41764,"FOREX_gbpusd-day-High",12,1834,11,1,6,FALSE
"2699",41765,"FOREX_eurtry-day-Close",12,1832,11,1,6,FALSE
"2700",41766,"FOREX_eurgbp-day-High",12,1835,11,1,6,FALSE
"2701",41767,"FOREX_cadjpy-hour-Close",12,43825,11,1,3,FALSE
"2702",41768,"FOREX_eurnok-hour-High",12,43825,11,1,3,FALSE
"2703",41769,"FOREX_audcad-day-Close",12,1834,11,1,6,FALSE
"2704",41770,"FOREX_audjpy-minute-High",12,375840,11,1,10,FALSE
"2705",41771,"FOREX_eurtry-minute-Close",12,375840,11,1,10,FALSE
"2706",41772,"FOREX_audchf-minute-High",12,375840,11,1,10,FALSE
"2707",41773,"FOREX_eurtry-hour-Close",12,43825,11,1,3,FALSE
"2708",41774,"FOREX_eurhuf-minute-High",12,375840,11,1,10,FALSE
"2709",41775,"FOREX_usdcad-minute-Close",12,375840,11,1,10,FALSE
"2710",41776,"FOREX_eurhkd-minute-Close",12,375840,11,1,10,FALSE
"2711",41777,"FOREX_eurjpy-hour-High",12,43825,11,1,3,FALSE
"2712",41778,"FOREX_eurdkk-minute-High",12,375840,11,1,10,FALSE
"2713",41779,"FOREX_eursek-hour-High",12,43825,11,1,3,FALSE
"2714",41780,"FOREX_usdchf-hour-High",12,43825,11,1,3,FALSE
"2715",41781,"FOREX_audcad-hour-Close",12,43825,11,1,3,FALSE
"2716",41782,"FOREX_usdjpy-hour-Close",12,43825,11,1,3,FALSE
"2717",41783,"FOREX_eurdkk-day-Close",12,1836,11,1,6,FALSE
"2718",41784,"FOREX_gbpusd-day-Close",12,1834,11,1,6,FALSE
"2719",41785,"FOREX_eurtry-day-High",12,1832,11,1,6,FALSE
"2720",41786,"FOREX_eurgbp-minute-Close",12,375840,11,1,10,FALSE
"2721",41787,"FOREX_eurpln-hour-High",12,43825,11,1,3,FALSE
"2722",41788,"FOREX_audnzd-day-High",12,1832,11,1,6,FALSE
"2723",41789,"FOREX_eurnzd-minute-High",12,375840,11,1,10,FALSE
"2724",41790,"FOREX_cadjpy-day-Close",12,1834,11,1,6,FALSE
"2725",41791,"FOREX_eurusd-day-Close",12,1837,11,1,6,FALSE
"2726",41792,"FOREX_usdchf-hour-Close",12,43825,11,1,3,FALSE
"2727",41793,"FOREX_eurjpy-minute-High",12,375840,11,1,10,FALSE
"2728",41794,"FOREX_nzdusd-minute-Close",12,375840,11,1,10,FALSE
"2729",41795,"FOREX_gbpusd-minute-Close",12,375840,11,1,10,FALSE
"2730",41796,"FOREX_eurrub-minute-Close",12,375840,11,1,10,FALSE
"2731",41797,"FOREX_usdjpy-day-High",12,1835,11,1,6,FALSE
"2732",41798,"FOREX_usdcad-minute-High",12,375840,11,1,10,FALSE
"2733",41799,"FOREX_eurhkd-hour-Close",12,43825,11,1,3,FALSE
"2734",41800,"FOREX_cadjpy-minute-Close",12,375840,11,1,10,FALSE
"2735",41801,"FOREX_eursgd-day-High",12,1832,11,1,6,FALSE
"2736",41802,"FOREX_audcad-minute-High",12,375840,11,1,10,FALSE
"2737",41803,"FOREX_eurchf-day-High",12,1833,11,1,6,FALSE
"2738",41804,"FOREX_gbpusd-hour-Close",12,43825,11,1,3,FALSE
"2739",41805,"FOREX_eurrub-hour-High",12,43825,11,1,3,FALSE
"2740",41806,"FOREX_audjpy-hour-Close",12,43825,11,1,3,FALSE
"2741",41807,"FOREX_nzdusd-minute-High",12,375840,11,1,10,FALSE
"2742",41808,"FOREX_eurgbp-minute-High",12,375840,11,1,10,FALSE
"2743",41809,"FOREX_audusd-minute-High",12,375840,11,1,10,FALSE
"2744",41810,"FOREX_audchf-minute-Close",12,375840,11,1,10,FALSE
"2745",41811,"FOREX_cadchf-day-Close",12,1831,11,1,6,FALSE
"2746",41812,"FOREX_eurnok-day-Close",12,1837,11,1,6,FALSE
"2747",41813,"FOREX_audsgd-minute-Close",12,375840,11,1,10,FALSE
"2748",41814,"FOREX_euraud-minute-Close",12,375840,11,1,10,FALSE
"2749",41815,"FOREX_eurrub-day-Close",12,1832,11,1,6,FALSE
"2750",41816,"FOREX_usddkk-hour-High",12,43825,11,1,3,FALSE
"2751",41817,"FOREX_audusd-minute-Close",12,375840,11,1,10,FALSE
"2752",41818,"FOREX_euraud-day-Close",12,1834,11,1,6,FALSE
"2753",41819,"FOREX_eurrub-minute-High",12,375840,11,1,10,FALSE
"2754",41820,"FOREX_chfsgd-hour-High",12,43825,11,1,3,FALSE
"2755",41821,"FOREX_eurpln-day-Close",12,1832,11,1,6,FALSE
"2756",41822,"FOREX_audnzd-minute-High",12,375840,11,1,10,FALSE
"2757",41823,"FOREX_eurcad-minute-High",12,375840,11,1,10,FALSE
"2758",41824,"FOREX_eurgbp-hour-Close",12,43825,11,1,3,FALSE
"2759",41825,"FOREX_audnzd-hour-High",12,43825,11,1,3,FALSE
"2760",41826,"FOREX_eurnzd-day-Close",12,1832,11,1,6,FALSE
"2761",41827,"FOREX_euraud-hour-Close",12,43825,11,1,3,FALSE
"2762",41828,"FOREX_usdcad-hour-High",12,43825,11,1,3,FALSE
"2763",41829,"FOREX_nzdusd-day-Close",12,1828,11,1,6,FALSE
"2764",41830,"FOREX_nzdusd-day-High",12,1828,11,1,6,FALSE
"2765",41831,"FOREX_eurdkk-hour-Close",12,43825,11,1,3,FALSE
"2766",41832,"FOREX_nzdusd-hour-Close",12,43825,11,1,3,FALSE
"2767",41833,"FOREX_cadjpy-hour-High",12,43825,11,1,3,FALSE
"2768",41834,"FOREX_usdcad-day-Close",12,1833,11,1,6,FALSE
"2769",41835,"FOREX_euraud-hour-High",12,43825,11,1,3,FALSE
"2770",41836,"FOREX_cadchf-minute-High",12,375840,11,1,10,FALSE
"2771",41837,"FOREX_audjpy-minute-Close",12,375840,11,1,10,FALSE
"2772",41838,"FOREX_cadchf-hour-Close",12,43825,11,1,3,FALSE
"2773",41839,"FOREX_cadjpy-day-High",12,1834,11,1,6,FALSE
"2774",41840,"FOREX_eurnok-minute-High",12,375840,11,1,10,FALSE
"2775",41841,"FOREX_chfsgd-day-Close",12,1832,11,1,6,FALSE
"2776",41842,"FOREX_eurchf-hour-High",12,43825,11,1,3,FALSE
"2777",41843,"FOREX_audusd-hour-High",12,43825,11,1,3,FALSE
"2778",41844,"FOREX_eurgbp-day-Close",12,1835,11,1,6,FALSE
"2779",41845,"FOREX_eurusd-minute-High",12,375840,11,1,10,FALSE
"2780",41846,"FOREX_eursek-day-Close",12,1837,11,1,6,FALSE
"2781",41847,"FOREX_eurdkk-day-High",12,1836,11,1,6,FALSE
"2782",41848,"FOREX_chfjpy-day-High",12,1832,11,1,6,FALSE
"2783",41849,"FOREX_audsgd-day-Close",12,1832,11,1,6,FALSE
"2784",41850,"FOREX_eursek-minute-High",12,375840,11,1,10,FALSE
"2785",41851,"FOREX_usdjpy-hour-High",12,43825,11,1,3,FALSE
"2786",41852,"FOREX_eurchf-minute-High",12,375840,11,1,10,FALSE
"2787",41853,"FOREX_eurnzd-minute-Close",12,375840,11,1,10,FALSE
"2788",41854,"FOREX_audcad-minute-Close",12,375840,11,1,10,FALSE
"2789",41855,"FOREX_eurtry-minute-High",12,375840,11,1,10,FALSE
"2790",41856,"FOREX_eurdkk-hour-High",12,43825,11,1,3,FALSE
"2791",41857,"FOREX_audjpy-day-Close",12,1832,11,1,6,FALSE
"2792",41858,"FOREX_usdchf-day-Close",12,1835,11,1,6,FALSE
"2793",41859,"FOREX_eurnok-hour-Close",12,43825,11,1,3,FALSE
"2794",41860,"FOREX_eurusd-hour-Close",12,43825,11,1,3,FALSE
"2795",41861,"FOREX_euraud-minute-High",12,375840,11,1,10,FALSE
"2796",41862,"FOREX_eurrub-hour-Close",12,43825,11,1,3,FALSE
"2797",41863,"FOREX_eurnok-day-High",12,1837,11,1,6,FALSE
"2798",41864,"FOREX_chfsgd-day-High",12,1832,11,1,6,FALSE
"2799",41865,"FOREX_audsgd-hour-High",12,43825,11,1,3,FALSE
"2800",41866,"FOREX_euraud-day-High",12,1834,11,1,6,FALSE
"2801",41867,"FOREX_audnzd-day-Close",12,1832,11,1,6,FALSE
"2802",41868,"FOREX_eurpln-day-High",12,1832,11,1,6,FALSE
"2803",41869,"FOREX_eursgd-minute-Close",12,375840,11,1,10,FALSE
"2804",41870,"FOREX_chfjpy-hour-Close",12,43825,11,1,3,FALSE
"2805",41871,"FOREX_usddkk-hour-Close",12,43825,11,1,3,FALSE
"2806",41872,"FOREX_eurhkd-day-Close",12,1832,11,1,6,FALSE
"2807",41873,"FOREX_eurusd-hour-High",12,43825,11,1,3,FALSE
"2808",41874,"FOREX_eursgd-day-Close",12,1832,11,1,6,FALSE
"2809",41875,"FOREX_audchf-day-High",12,1833,11,1,6,FALSE
"2810",41876,"FOREX_eurdkk-minute-Close",12,375840,11,1,10,FALSE
"2811",41877,"FOREX_eurchf-hour-Close",12,43825,11,1,3,FALSE
"2812",41878,"FOREX_audusd-hour-Close",12,43825,11,1,3,FALSE
"2813",41879,"FOREX_gbpusd-hour-High",12,43825,11,1,3,FALSE
"2814",41880,"FOREX_chfsgd-minute-Close",12,375840,11,1,10,FALSE
"2815",41881,"FOREX_chfjpy-hour-High",12,43825,11,1,3,FALSE
"2816",41882,"FOREX_audjpy-day-High",12,1832,11,1,6,FALSE
"2817",41883,"FOREX_eurnzd-hour-High",12,43825,11,1,3,FALSE
"2818",41884,"FOREX_nzdusd-hour-High",12,43825,11,1,3,FALSE
"2819",41885,"FOREX_chfsgd-hour-Close",12,43825,11,1,3,FALSE
"2820",41886,"FOREX_eurnzd-hour-Close",12,43825,11,1,3,FALSE
"2821",41887,"FOREX_audsgd-minute-High",12,375840,11,1,10,FALSE
"2822",41888,"FOREX_audchf-hour-Close",12,43825,11,1,3,FALSE
"2823",41889,"FOREX_eurjpy-hour-Close",12,43825,11,1,3,FALSE
"2824",41890,"FOREX_usddkk-minute-High",12,375840,11,1,10,FALSE
"2825",41891,"FOREX_eurcad-hour-Close",12,43825,11,1,3,FALSE
"2826",41892,"FOREX_usdchf-minute-High",12,375840,11,1,10,FALSE
"2827",41893,"FOREX_eursgd-hour-High",12,43825,11,1,3,FALSE
"2828",41894,"FOREX_eurchf-day-Close",12,1833,11,1,6,FALSE
"2829",41895,"FOREX_eurhuf-minute-Close",12,375840,11,1,10,FALSE
"2830",41896,"FOREX_eursek-hour-Close",12,43825,11,1,3,FALSE
"2831",41897,"FOREX_usddkk-day-Close",12,1832,11,1,6,FALSE
"2832",41898,"FOREX_audnzd-hour-Close",12,43825,11,1,3,FALSE
"2844",41945,"ilpd-numeric",11,583,10,1,6,FALSE
"2845",41946,"Sick_numeric",30,3772,29,1,6,FALSE
"2846",41949,"Elegibilidade",2,269177,0,1,10,FALSE
"2853",41964,"USPS",257,1424,256,1,2,FALSE
"2854",41966,"isolet",618,600,617,1,13,FALSE
"2855",41967,"cnae-9",857,240,856,1,13,FALSE
"2860",41973,"semeion",257,319,256,1,2,FALSE
"2861",41976,"TuningSVMs",81,156,80,1,6,FALSE
"2955",42172,"regime_alimentaire",20,202,3,17,11,TRUE
"2959",42178,"telco-customer-churn",20,7043,3,0,4,FALSE
"2965",42192,"compas-two-years",14,5278,7,7,8,FALSE
"2978",42206,"porto-seguro",38,595212,12,26,12,TRUE
"2989",42252,"Asteroid_Dataset",34,126131,31,2,3,TRUE
"3000",42343,"KDD98",478,82318,341,137,13,FALSE
"3001",42344,"sf-police-incidents",7,538638,1,6,12,FALSE
"3021",42395,"SantanderCustomerSatisfaction",202,200000,200,1,3,FALSE
"3023",42397,"CreditCardFraudDetection",31,284807,30,1,10,FALSE
"3076",42477,"default-of-credit-card-clients",24,30000,23,1,3,FALSE
"3106",42554,"test_hate_vects",50,4,48,2,6,FALSE
